Mem: 885824K used, 1435520K free, 180864K shrd, 15040K buff, 332352K cached
CPU:  10% usr   5% sys   0% nic  80% idle   0% io   5% irq   0% sirq
Load average: 0.22 0.10 0.02 4/570 1063
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  408     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  410     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  411     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  417     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  418     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  421     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  424     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  426     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  427     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  429     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  430     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  532     2 root     IW<      0   0%   0% [kworker/0:2H]
  533     2 root     IW<      0   0%   0% [kworker/1:2H]
  840     2 root     IW<      0   0%   0% [kworker/1:0H]
Mem: 886016K used, 1435328K free, 180864K shrd, 15040K buff, 332544K cached
CPU:   8% usr   5% sys   0% nic  83% idle   0% io   2% irq   0% sirq
Load average: 0.20 0.10 0.02 4/560 1063
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  432   254 root     S    4934m 217%   4% /lib/firmware/TDA4_A72_demo_gac_a09.out
  587     1 root     S    1943m  85%   2% ./mv_avm
  675     1 root     S    1703m  75%   2% ./mv_decision
  927     1 root     S    1676m  74%   2% ./mv_perc --cfg ../conf/app_slot.cfg
  838     1 root     S    1349m  59%   2% ./mv_fusion
  760     1 root     S    1546m  68%   2% ./mv_plan
  120     2 root     IW       0   0%   1% [kworker/0:3-eve]
